Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
285-RAUP,KRM4 KR Market,HBL Hebbala (Towards Yalahanka),7,22,31.818182,32,626,5.111821
230DN,BPN Bapujinagara,KMT1 KR Market (Kalasipalya),3,10,30.000002,107,653,16.385912
KMT-SNRUP,KRMT1 KR Market,SNR Srinagara Bus Station,4,4,100.0,23,45,51.111115
PURA-KBSDN,HOFM Hope Farm (Towards ITPL),PAG Pattandur Agrahara Gate,2,22,9.090909,61,628,9.713375
AYT-KDGUP,VYDHS White Field TTMC (Vydehi Hospital),BBZ Big Bazzar  ITPL,3,12,25.0,1,3,33.333336
SBS-CHLSUP,KARCH1 Kacharakanahalli,KOTNR Kothanuru ,4,10,40.0,8,52,15.384616
225G VIA KMTDN,BRN1 Bangarappa Nagara,NDH1 Nayandahalli,3,8,37.5,28,197,14.213199
215-NADN,JRGH Jaraganahalli Cross,BSKTTMC1 Banashankari TTMC,3,23,13.043478,74,851,8.695652
MKD-JBSDN,UDPL Udipalya,BSKTTMC1 Banashankari TTMC,7,10,70.0,15,101,14.851485
BSK-NDH-BEML5UP,PESC3 PES College,NDH Nayandahalli,3,9,33.333336,13,50,26.0
TNF-GJR 330PGUP,BEMLG1 BEML Gate (Towards HAL),HALMGT HAL Main Gate (Towards Old Airport Road),2,6,33.333336,23,63,36.50794
506-ADN,PTAGC Pattandur Agrahara Gate,HOF Hope Farm (Towards Chikka Thirupathi),2,18,11.111112,49,582,8.419244
600-KAUP,BTM16 16th Main BTM Layout ,BMH2 Bommanahalli (Towards Electronic City),4,23,17.391304,56,532,10.526316
301-RUP,RMNALDM Ramamurthy Nagara Alada Mara,HKEB Hoskote KEB Circle (Towards Hoskote),8,8,100.0,6,41,14.634146
MNH-KBSDN,MRSNF Marison Factory,JHC3 Jalahalli Cross,3,19,15.789473,74,400,18.5
250-AAUP,KRM4 KR Market,BGLG Bagalagunte (Towards Chikkabanavara),11,14,78.57143,108,1216,8.881578
KGSP-KBSUP,KPGWDN Kempegowda Nagara Swimming Pool,KBS123 Kempegowda Bus Station,4,4,100.0,32,59,54.23729
KNR-YLKDN,BLHL1 Bellahalli,YHK Yelahanka Old Town,3,3,100.0,1,2,50.0
KBS-BLOUP,KBS1 Kempegowda Bus Station,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),6,10,60.000004,137,627,21.850079
235-KDN,MDLPA Moodalapalya,KBS123 Kempegowda Bus Station,5,11,45.454548,104,1333,7.801951
D38-BKHUP,CNPCR Muttanalluru Cross,DMS1 Dommasandra,2,6,33.333336,7,16,43.75
90-EDN,CNTRLT Central,KBS123 Kempegowda Bus Station,2,9,22.222223,1052,3668,28.68048
346-NDN,BMH4 Bommanahalli (Towards St Johns),KBS123 Kempegowda Bus Station,16,21,76.190475,55,690,7.971015
BEML5-MGD 227MUP,KGR2 Kengeri TTMC,ANCPL Anchepalya,3,24,12.5,22,235,9.361702
HNS-KBSDN,MRSNF Marison Factory,JHC3 Jalahalli Cross,2,11,18.181818,17,100,17.0
327-CDN,VRTBS Varthuru,KRM4 KR Market,14,26,53.846157,39,651,5.9907837
250-MDN,YTTMC1 Yashawanthapura TTMC,KBS123 Kempegowda Bus Station,4,9,44.444447,130,820,15.853659
BDT-JAPCDN,KOPP Koppa,KPGT6 Koppa Gate,2,4,50.0,1,2,50.0
UST-KGR 234-AUP,RVC RV College,KGR2 Kengeri TTMC,2,5,40.0,8,23,34.782608
KMT-KRH-226KUP,KMT1 KR Market (Kalasipalya),NDH Nayandahalli,3,22,13.636364,40,371,10.781672
291UP,KDGH23 Kadugondanahalli Police Station,KRM4 KR Market,7,10,70.0,76,594,12.794612
KIAS-5ADN,KIAS Kempegowda International Airport,WGPC Wilson Garden Police Station,10,18,55.555557,25,168,14.880952
266-TUP,BELC BEL Circle (Towards Gangamma Circle),LKPC-12 Lakshmipura Cross,5,11,45.454548,67,623,10.754414
MLO-D31GDN,MLO1 Mahalakshmi Layout,KTSSL Kanteerava Studio,2,2,100.0,1,1,100.0
297-MDN,DBPRS Railway Station Doddaballapura,DBP Doddaballapura Old Bus Stand,2,12,16.666668,1,1,100.0
245-EDN,MGDTLG Magadi Road TollGate ,KMT1 KR Market (Kalasipalya),4,15,26.666668,63,972,6.4814816
ELCII-KBSUP,BMH4 Bommanahalli (Towards St Johns),KBS123 Kempegowda Bus Station,15,19,78.94737,25,231,10.822511
254-EDN,BGLG1 Bagalagunte (Towards 8th Mile),JHC3 Jalahalli Cross,2,14,14.285715,166,1232,13.474027
ALS-GECUP,RHMT Rehamatnagara,CRLST Cantonment Railway Station,6,8,75.0,10,27,37.037037
89-FDN,RJNEH ESI Hospital Rajajinagara (Towards Old Police Station),KBS123 Kempegowda Bus Station,6,10,60.000004,83,357,23.2493
301-AUP,KRM4 KR Market,BNSWDI Banasawadi (Towards B Channasandra),14,14,100.0,11,70,15.714286
288-MDN,HBL1 Hebbala (Towards RM Guttahalli),MKC1 Mekhri Circle,2,4,50.0,1,4,25.0
293-DDN,KOTNR2 Kothanuru ,KCHK1 Kacharakanahalli,4,19,21.052631,33,623,5.2969503
314UP,SBS0 Shivajinagara Bus Station,HLS-1 Halasuru,3,13,23.076923,422,2426,17.394888
305-JUP,CNSA Channasandra (Towards Hope Farm),HOFM Hope Farm (Towards ITPL),2,19,10.526316,62,653,9.49464
226-VADN,NDH1 Nayandahalli,KMT1 KR Market (Kalasipalya),4,19,21.052631,34,593,5.733558
