Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
MLO-D31GDN,MLO1 Mahalakshmi Layout,KTSSL Kanteerava Studio,2,2,100.0,1,1,100.0
297-MDN,DBPRS Railway Station Doddaballapura,DBP Doddaballapura Old Bus Stand,2,12,16.666668,1,1,100.0
V-129DN,SBS0 Shivajinagara Bus Station,KBS123 Kempegowda Bus Station,3,3,100.0,55,55,100.0
BKS-BMSUP,BKSBBS Bukkasagara ,OTCLE OTC Circle,2,2,100.0,1,1,100.0
YPR-KRNUP,GMGC2 Gangamma Circle (Towards MS Palya),MSPY2 MS Palya,2,2,100.0,2,2,100.0
ELCW-KRM TTMCDN,KGATE Kudlu Gate,BMH4 Bommanahalli (Towards St Johns),2,5,40.0,1,1,100.0
NSP-SGHUP,JEE1 East End Jayanagara (Towards JD Mara),SGH3 Sanjay Gandhi Hospital,2,2,100.0,1,1,100.0
KNN-YTTMCDN,MLO3 Mahalakshmi Layout,YTTMC Yashawanthapura TTMC,2,2,100.0,3,3,100.0
D34 Gate-SKLUP,D34GT Depot-34 Gate,HMG Hulimavu Gate (Towards Jayadeva Hospital),2,2,100.0,1,1,100.0
BELF-VRPUP,NJPAC Nanjappa Circle,VRP Vidyaranyapura Bus Station,2,2,100.0,1,1,100.0
401-PUP,MTKR Mattikere,CBSJP Chowdeshwari Bus Stand JP Park,2,2,100.0,1,1,100.0
356-CW INFPLDN,BMH4 Bommanahalli (Towards St Johns),HSRA2 SI Apartment HSR Layout,3,6,50.0,238,240,99.166664
HPPCR-SBSUP,HPPCR CS-HP Petrol Bunk Coles Road,SBS1 Shivajinagara Bus Station,2,2,100.0,4,4,100.0
KPA-DPJDN,KMPAGARAR Kempapura Agarahara,SRCL Sirsi Circle,2,2,100.0,8,8,100.0
57-BUP,GSR Binny MIll,KBS123 Kempegowda Bus Station,2,2,100.0,3,3,100.0
500-KBUP,CBSJP1 Chowdeshwari Bus Stand JP Park,MTKR1 Mattikere,2,2,100.0,2,2,100.0
242-XDN,CDC Chandrappa Circle,BYLL1 Byalalu,2,17,11.764706,2,2,100.0
NTR-SMH 238DN,P[DP Papareddypalya,SMH5 Summanahalli,2,2,100.0,1,1,100.0
342-DUP,KCHMVG Kachamaranahalli,VNYPS Varthuru Police Station,18,18,100.0,1,1,100.0
YLK-AHLUP,YHK1 Yelahanka Old Town,AGHRV Agrahara Layout,3,3,100.0,5,6,83.33333
AJB-PTHDN,JLIMC Ittige Factory,KGLV Kogilu,2,2,100.0,1,1,100.0
PSS-ISROQUP,NTTF NTTF Peenya,SRS1 SRS Peenya,2,2,100.0,1,1,100.0
369-QDN,JBS4thB Jayanagara 4th Block,BSKTTMC0 Banashankari TTMC,2,2,100.0,3,3,100.0
D21-KHBQUP,IAHF1 Indo American Hybrid Farm,KGR2 Kengeri TTMC,2,2,100.0,1,1,100.0
GKW-VJNDN,GKW0 GKW Layout,VJN2 Vijayanagara,2,2,100.0,1,1,100.0
JGF-KHCDN,VJNGRAA Vijayanagara,KHB KHB Colony,7,7,100.0,1,1,100.0
380QUP,DDPYCS3 Dandupalya Cross,ORHL Harohalli (Towards Umalu),4,22,18.181818,4,5,80.0
V-129UP,KBS1 Kempegowda Bus Station,SBS1 Shivajinagara Bus Station,3,3,100.0,35,39,89.74359
PTH-KIASUP,YHKSC1 Yelahanka Santhe Circle,SDHG1 Sadahalli Gate,4,4,100.0,1,1,100.0
HKR-HKRGATEDN,HUSK Huskur (Towards Chikkanagamangala Gate),HSKGT Huskur Gate,3,3,100.0,17,22,77.27273
KBS-CHMUP,KBS1 Kempegowda Bus Station,CNTRL Central,2,2,100.0,3,3,100.0
KBS-HAL LCAUP,MAO Military Accounts Office,HALMG HAL Main Gate (Towards Marathahalli Bridge),2,2,100.0,1,1,100.0
287-RUP,BDPLYT1 Bhadrappa Layout (Towards TATA Nagara),TATANR Tata Nagara,2,10,20.0,1,1,100.0
362-JUP,KPGT6 Koppa Gate,JGN0 Jigani Bus Stand,3,23,13.043478,1,1,100.0
401-PDN,MTKR1 Mattikere,YTTMC Yashawanthapura TTMC,2,2,100.0,1,1,100.0
MGMS-KLNBDN,SBS0 Shivajinagara Bus Station,KARCH1 Kacharakanahalli,2,2,100.0,3,3,100.0
BEL-KLNDN,BELCR2 BEL Circle (Towards Hebbala),jnon Jn of Nagawara,3,4,75.0,1,1,100.0
CJP-ELCWUP,ELC356cw Electronic City (Towards Wipro Gate),ELCWG ELC Wipro Gate,2,21,9.523809,1,1,100.0
KMT-BMTC COUP,CRP12 Corporation (Towards Subbiah Circle),SNTTMC3 Shanthinagara TTMC,2,2,100.0,1,1,100.0
242VDN,PRDPL Puradapalya,MGDTLG Magadi Road TollGate ,5,6,83.33333,1,1,100.0
356CW-FlyUP,SIA1 SI Apartment HSR Layout,ELCWG ELC Wipro Gate,6,7,85.71429,5948,6190,96.09047
