Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
297-MDN,DBPRS Railway Station Doddaballapura,DBP Doddaballapura Old Bus Stand,2,12,16.666668,1,1,100.0
ELCW-KRM TTMCDN,KGATE Kudlu Gate,BMH4 Bommanahalli (Towards St Johns),2,5,40.0,1,1,100.0
242-XDN,CDC Chandrappa Circle,BYLL1 Byalalu,2,17,11.764706,2,2,100.0
287-RUP,BDPLYT1 Bhadrappa Layout (Towards TATA Nagara),TATANR Tata Nagara,2,10,20.0,1,1,100.0
362-JUP,KPGT6 Koppa Gate,JGN0 Jigani Bus Stand,3,23,13.043478,1,1,100.0
BEL-KLNDN,BELCR2 BEL Circle (Towards Hebbala),jnon Jn of Nagawara,3,4,75.0,1,1,100.0
CJP-ELCWUP,ELC356cw Electronic City (Towards Wipro Gate),ELCWG ELC Wipro Gate,2,21,9.523809,1,1,100.0
242VDN,PRDPL Puradapalya,MGDTLG Magadi Road TollGate ,5,6,83.33333,1,1,100.0
CAPG-MRHUP,DDNKD Dodda Nekkundi (Towards Marathahalli Bridge),BTHB Marathahalli Bridge Flyover,2,3,66.66667,9,9,100.0
KGR-HKLOUP,mnsk1 Muneshwara Nagara Kerekodi,KRSHL H Krishnappa Layout,2,5,40.0,1,1,100.0
KMT-TVK 227JUP,PTYNP Puttaiahnapalya,TVRKR1 Tavarekere,2,12,16.666668,5,5,100.0
HSK-CPR 399AUP,AVLHIHSK Avalahalli Electronic City,HUSK Huskur (Towards Chikkanagamangala Gate),2,15,13.333334,1,1,100.0
V-333TUP,VYDHS White Field TTMC (Vydehi Hospital),ITL ITPL,3,20,15.000001,2,2,100.0
310-CDN,HLS Halasuru,SBS1 Shivajinagara Bus Station,3,5,60.000004,5,5,100.0
323-DNUP,DND Vappachalli Gate,DND9 Daadinayakana Doddy,2,19,10.526316,2,2,100.0
ATB-HSR BCUP,ROPAG Rupena Agrahara,HSRA2 SI Apartment HSR Layout,2,5,40.0,1,1,100.0
SBS-SGHDN,RMDC Richmond Circle,JBS4th Jayanagara 4th Block,3,4,75.0,1,1,100.0
CLOC-BSKUP,KTGP Kathriguppe,BSKTTMC1 Banashankari TTMC,3,4,75.0,1,1,100.0
JGH-D-35UP,JGH Karekal Cross,TVK Tavarekere,2,3,66.66667,18,18,100.0
310-CUP,HLS1 Halasuru,ISH Isolation Hospital,2,3,66.66667,1,1,100.0
317-KDN,RCHMDCR Richmond Circle,KRM4 KR Market,2,13,15.384616,1,1,100.0
KIAS-5UP,SDHG1 Sadahalli Gate,KIAS Kempegowda International Airport,3,13,23.076923,4,4,100.0
DVHOB-NLRUP,RDH Reddyhalli,NLU Nallur,2,5,40.0,1,1,100.0
60UP,SJTR Sujatha Talkies,KBS123 Kempegowda Bus Station,2,3,66.66667,1,1,100.0
CKB-VSD-KMT 271FDN,TELEE Telephone Exchange AGO ,KRM4 KR Market,3,12,25.0,1,1,100.0
D10-BGLR-DVHUP,CSNG Chikka Sanne Gate,DVHOBS2 Devanahalli Old Bus Stand,2,14,14.285715,4,4,100.0
313-CDN,BGH Benniganahalli,DEPO6 Depot-06 Gate,3,4,75.0,1,1,100.0
BNP-ANKUP,KOPG Koppa Gate,JGN0 Jigani Bus Stand,2,3,66.66667,1,1,100.0
401-CDN,BNGUSTY Bengaluru University Gate (Towards ADM Block),BUAMB Bengaluru University Administrative Block,2,3,66.66667,1,1,100.0
KIAS-6UP,SDHG1 Sadahalli Gate,KIAS Kempegowda International Airport,2,22,9.090909,1,1,100.0
HSRBC-ELCDN,HSRBDA BDA Complex HSR Layout,BMH2 Bommanahalli (Towards Electronic City),2,3,66.66667,5,5,100.0
RMG-RVC-DTTUP,CHRP Chamarajapet (Towards TR Mill),RVC1 Raghavendra Colony,2,5,40.0,1,1,100.0
80 MLO -KBSDN,SJTR Sujatha Talkies,kcle Kodays Circle,3,4,75.0,3,3,100.0
TRP-KBSUP,JNHR Jn of Hosur Road,KBS123 Kempegowda Bus Station,5,14,35.714287,1,1,100.0
AIT-KHDS-SBSUP,MGDTLG Magadi Road TollGate ,kcle Kodays Circle,2,3,66.66667,1,1,100.0
