 BUS_STOP_ID ,BUS_STOP_NAME,BUS_STOP_CODE,LATITUDE_CURRENT,LONGITUDE_CURRENT
0,Trip Start or Trip Close or Trip Cancel or Special Tickets,,12.9716,77.5946
3,Kodihalli,KDLIii,12.96004656,77.64719738
5,MC Layout,MCL1,12.97500273,77.54211521
6,MG Road Metro Station,MGRMS,12.97582743,77.60564176
7,Central Silk Board (Towards Madivala),CNLSK,12.91704891,77.62171975
8,Banashankari Bus Station (Towards Konanakunte Cross),BSK1,12.91672959,77.57366674
9,Banashankari TTMC,BSKTTMC1,12.91753106,77.57296011
10,Sangam Circle,SMG,12.91703282,77.57840196
12,5th Block Jayanagara (Towards Jayanagara),JNGR5,12.91730831,77.58357173
17,Ragigudda Temple,RGD,12.91693403,77.5932443
18,East End Jayanagara (Towards BTM Layout),END,12.91684059,77.59719395
20,MICO Layout,MCLYT,12.91659989,77.60312779
21,BTM Layout Water Tank,WATANK,12.91669366,77.60684366
22,BTM Layout Water Tank,WTANK,12.91649963,77.60642451
23,Udupi Garden Petrol Bunk,bmtl1,12.91717183,77.61007499
25,16th Main BTM Layout ,BTM16th,12.91652707,77.60880393
26,7th Main BTM Layout,BTM7,12.91206163,77.60632518
27,BTM Layout Kuvempu Nagara ,BTMLYK,12.91629583,77.61592327
28,BTM Layout Kuvempu Nagara ,BMTLYTK,12.91635662,77.61591532
29,Central Silk Board UFLY,CSBFY,12.91630999,77.62354268
30,Vijayanagara,VJN1,12.97183024,77.53791923
31,Sirsi Circle,SRSC2,12.96217397,77.56000394
32,KR Market,KR MKT,12.96366889,77.57736881
35,Bommanahalli (Towards Beguru),BMH0,12.90677751,77.62842911
36,Bommanahalli (Towards Electronic City),BMH2,12.90536003,77.63013142
37,Garvebhavipalya,GPALYA,12.89618963,77.63544064
38,Kudlu Gate,KGATE,12.88965654,77.63948598
39,Kudlu Gate,KDG,12.88985737,77.63965926
40,Singasandra,SSNDRA,12.87874432,77.64647488
41,Hosa Road (Towards Electronic City),HOSRD,12.87059695,77.65295173
42,Electronic City (Towards Attibele),ELC3,12.84816925,77.6707112
43,Konappana Agarhara,KNA,12.85485537,77.66515418
44,PESIT College,PESIT,12.85873107,77.66232768
45,Singasandra,SNSDRA,12.87738903,77.64705927
46,Garvebhavipalya,GBPLYA,12.89629994,77.63568778
47,Bommanahalli (Towards St Johns),BMH4,12.90483622,77.63007965
48,Rupena Agrahara,ROPAG,12.91168823,77.62586568
49,Central Silk Board (Towards Kuvempunagara),CSB2,12.91611715,77.62309375
50,Madivala,MDWL1,12.92008333,77.62066167
51,Ayyappaswamy Temple Madivala,AT1,12.92472759,77.61791906
52,Jn of Hosur Road,JNHR,12.93201852,77.61325248
53,Muneshwara Devasthana,MSD,12.93636174,77.60660537
54,Nimhans Hospital,NMH1,12.93868165,77.59831884
55,Lakkasandra,LKS1,12.94382951,77.59709837
56,12th Cross Wilson Garden ,WLG10C,12.9467426,77.59607302
57,Wilson Garden Police Station,WGPS,12.95021269,77.5963872
58,Shanthinagara Bus Stop KH Road ,SHNG,12.95497093,77.591889
60,Depot-07 Subhashnagara,D-7,12.9796856,77.57190406
61,KR Circle,KRC,12.97472667,77.58691
62,Corporation (Towards KR Market),Corpo,12.96724194,77.58828195
63,7th Cross Wilson Garden ,WLG7,12.94709538,77.59451345
64,Shanthinagara TTMC,SNTTMC3,12.95459258,77.5925092
65,Wilson Garden Police Station,WGPC,12.95140577,77.59521987
66,10th Cross Wilson Garden ,WG10C,12.94715044,77.59805714
67,Lakkasandra,LKS,12.94308106,77.59743743
68,Muneshwara Devasthana,MHW,12.93643438,77.60661905
